puesto,obra,criterio_visual
1,Tanguy 1,"Contraste azul/blanco, estructura reconocible y textura legible incluso en miniatura."
2,Nubes 1,"Amplitud, luz y profundidad; pausa visual que encaja con la dirección editorial."
3,Marte 1,Máxima intensidad cromática y silueta vertical; contrapunto cálido a las dos primeras.
4,Esme 1,Verde profundo y blanco con gran contraste; primera alternativa si se busca variedad cromática adicional.
5,Chapel,Riqueza ocre/turquesa y materia; más sutil a tamaño de tarjeta.
6,Tanguy 2,Ritmo gestual y contraste granate/blanco; excelente segunda selección.
7,La ola 1,Atmósfera y profundidad; sus negros necesitan mayor tamaño para apreciarse.
8,Visc 1,Gran fuerza gestual roja; el formato ancho reduce su presencia en una tarjeta.
9,Barcelo,"Equilibrio entre masa negra y luz; excelente vertical, tono más sobrio."
10,Doble a,Gradación y textura atractivas; gana al verse junto a Doble b.
11,Fatuo 1,Verde luminoso y veladuras oscuras; detalles menos inmediatos en miniatura.
12,Doble b,Interesante materia y grano; su relación con Doble a es más fuerte que su impacto aislado.
13,Sunset 3,Paleta delicada y atmósfera; contraste más bajo en el fondo claro de la web.
14,Agar,"Buena estructura gráfica; panorama extremo, mejor en una franja ancha."
15,Coral,Trazo y rojo muy atractivos; proporción extrema para tres columnas.
16,Algas,Color agradable y horizonte largo; menor contraste y misma limitación de formato.
