prioridad_proyecto_o_grupo,orden_publicacion,grupo,codigo,medios_publicacion,texto_caracteres,criterio,url
1,1,"Florero, copia de Nicolas Baudesson",B2jGiSDjazY,7,1894,"Resultado potente, siete documentos propios y tratamiento de pintura y marco explicado paso a paso.",https://www.instagram.com/moreto_restauracion/p/B2jGiSDjazY/
2,2,Virgen de Tómalos,CpUxKd9j7q6,7,1073,"Siete documentos propios: comparativa, daños, reverso, resultado y detalles; diagnóstico con límites explícitos.",https://www.instagram.com/moreto_restauracion/p/CpUxKd9j7q6/
3,3,Calvario de Juan de Anchieta,CLZYraTD__V,2,857,"Conjunto, comparativas y vídeo de la Dolorosa; cinco documentos y contexto histórico con tratamiento descrito.",https://www.instagram.com/moreto_restauracion/p/CLZYraTD__V/
3,4,Calvario de Juan de Anchieta,CGuPNmkDY5m,3,1818,"Conjunto, comparativas y vídeo de la Dolorosa; cinco documentos y contexto histórico con tratamiento descrito.",https://www.instagram.com/moreto_restauracion/p/CGuPNmkDY5m/
4,5,La Piedad,CS_doW0j8g-,5,2087,Transformación visible y seis etapas de tratamiento; una imagen del carrusel es referencia histórica. El post previo presenta discrepancia en la madera y no se fusiona automáticamente.,https://www.instagram.com/moreto_restauracion/p/CS_doW0j8g-/
4,6,La Piedad,CO_HrYuDChE,1,666,Transformación visible y seis etapas de tratamiento; una imagen del carrusel es referencia histórica. El post previo presenta discrepancia en la madera y no se fusiona automáticamente.,https://www.instagram.com/moreto_restauracion/p/CO_HrYuDChE/
5,7,Alegoría de la Aurora,B1ribdTi6qC,3,382,"Amplio proceso en varias publicaciones; 20 archivos, tres referencias históricas. Menor fuerza de miniatura y sin vista final general inequívoca.",https://www.instagram.com/moreto_restauracion/p/B1ribdTi6qC/
5,8,Alegoría de la Aurora,B1rid-FCstU,1,190,"Amplio proceso en varias publicaciones; 20 archivos, tres referencias históricas. Menor fuerza de miniatura y sin vista final general inequívoca.",https://www.instagram.com/moreto_restauracion/p/B1rid-FCstU/
5,9,Alegoría de la Aurora,B1ri9ATCo6f,2,241,"Amplio proceso en varias publicaciones; 20 archivos, tres referencias históricas. Menor fuerza de miniatura y sin vista final general inequívoca.",https://www.instagram.com/moreto_restauracion/p/B1ri9ATCo6f/
5,10,Alegoría de la Aurora,B1rjgPqC_No,2,650,"Amplio proceso en varias publicaciones; 20 archivos, tres referencias históricas. Menor fuerza de miniatura y sin vista final general inequívoca.",https://www.instagram.com/moreto_restauracion/p/B1rjgPqC_No/
